Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
Mexico,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,2 to 3 years,Web developer; Desktop applications developer,Male,Hispanic or Latino/Latina
United States,Bachelor's degree,A non-computer-focused engineering discipline,Never,"10,000 or more employees",Publicly-traded corporation,15 to 16 years,Web developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Mathematics or statistics,About half the time,100 to 499 employees,Venture-funded startup,5 to 6 years,Web developer; Mobile developer; Developer with a statistics or mathematics background,Male,Middle Eastern
Finland,Bachelor's degree,A business discipline,"Less than half the time, but at least one day each week","5,000 to 9,999 employees",Publicly-traded corporation,16 to 17 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,Embedded applications/devices developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,5 to 6 years,Web developer,Male,South Asian
Poland,Secondary school,,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",Less than a year,Machine learning specialist; Data scientist,Male,White or of European descent
Russian Federation,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,2 to 3 years,Mobile developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,About half the time,20 to 99 employees,Venture-funded startup,10 to 11 years,Web developer; Systems administrator; DevOps specialist,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,White or of European descent
Germany,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Graphics programming,Male,White or of European descent
Brazil,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Desktop applications developer,Male,I don’t know
France,Master's degree,Computer science or software engineering,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer; Database administrator,Male,White or of European descent
Sweden,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",Fewer than 10 employees,Pre-series A startup,9 to 10 years,Web developer,,
United States,Bachelor's degree,Something else,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; DevOps specialist,Male,White or of European descent
Croatia,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Female,White or of European descent
United States,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",19 to 20 years,Web developer; Desktop applications developer; Systems administrator,Male,White or of European descent
Israel,Bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Mobile developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,South Asian
United States,Master's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Publicly-traded corporation,7 to 8 years,Web developer,Male,I prefer not to say
United States,Some college/university study without earning a bachelor's degree,I never declared a major,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,Web developer,Male,White or of European descent
